time,lat,lon,biomass_pro,biomass_syn,biomass_pico,biomass_croco,ALK,sss,sst,ugos,vgos,Fe,O2,NO3,PO4,Si,hours_since_sunrise,cruise
2021-01-14,22.74286172730493,-157.9676292191246,4.626713887352199,0.35133806856916644,1.839840399058226,0.03816354392955624,1959.6345640151515,34.87021837121212,25.145032935606086,0.1372172348484848,0.008536931818181886,0.00027430436648621367,0.00027430436648621367,0.00027430436648621367,0.00027430436648621367,0.00027430436648621367,11.580517676767677,KM2101
2021-01-15,22.216108136259454,-158.1759724481476,5.663359700065129,0.455557208001333,1.724547838078416,0.03488241958749567,1959.1623124999999,34.63773327128427,25.39515031250002,0.03600449074074074,-0.005924375000000017,0.0003957000122601,0.0003957000122601,0.0003957000122601,0.0003957000122601,0.0003957000122601,9.264074074074074,KM2101
2021-03-22,21.30772,-158.19514,5.383357652799901,0.14435731200617655,0.15644105559414964,0.013586649413863333,1955.9335583333334,34.648516405555554,24.31451013888891,-0.055665185185185095,0.05056814814814813,0.0003314110304129,0.0003314110304129,0.0003314110304129,0.0003314110304129,0.0003314110304129,4.761296296296297,KM2103
2021-03-23,21.981411428571427,-158.16760714285715,9.863170554230408,0.32616678944625827,0.5664205688725706,0.03589826286053594,1957.9605607142857,34.5541502718254,23.78609654761907,-0.03346805555555551,-0.0348913095238095,0.0002713454286018714,0.0002713454286018714,0.0002713454286018714,0.0002713454286018714,0.0002713454286018714,7.152103174603175,KM2103
2021-03-24,22.741091315789475,-158.04922,10.64983412763525,0.5935355242662675,0.8578948208400117,0.05062189975554482,1959.0988250000003,34.755457645833324,23.22187041666669,0.0064083333333333,-0.11927083333333331,0.00018121595516581578,0.00018121595516581578,0.00018121595516581578,0.00018121595516581578,0.00018121595516581578,13.14453216374269,KM2103
2021-03-25,22.742327936507937,-158.05510007936508,11.810098403725089,0.5368793534203848,0.8247344011408787,0.04354317387476843,1959.3617916666667,34.77515474999999,23.389580000000024,0.0139375,-0.11883125000000001,0.00017488447124126193,0.00017488447124126193,0.00017488447124126193,0.00017488447124126193,0.00017488447124126193,12.904153439153438,KM2103
2021-03-26,21.81364436011905,-158.16765455357142,10.189694275003294,0.3167033503938676,0.8016323092004903,0.03489975364672717,1956.9825296875001,34.61413621876804,24.145788567708355,0.002718446180555531,-0.05195598958333331,0.00029091313488405,0.00029091313488405,0.00029091313488405,0.00029091313488405,0.00029091313488405,15.977274305555556,KM2103
2021-04-12,21.324887500000003,-158.2495,4.486779346856839,0.27238211330655415,1.6220868033427611,0.13527771182307438,1954.51288125,34.462307625,24.697285000000026,0.0151533333333333,0.0125422222222222,0.000453481034402725,0.000453481034402725,0.000453481034402725,0.000453481034402725,0.000453481034402725,5.237222222222222,KM2104
2021-04-13,22.370705087719298,-158.1035754385965,9.609603918552137,0.4861159471613613,2.3377765136098345,0.13501400879560932,1956.4625061403506,34.803742906328324,23.924952127193,0.02392995614035081,-0.05074328947368421,0.00029034562627123156,0.00029034562627123156,0.00029034562627123156,0.00029034562627123156,0.00029034562627123156,11.343815789473684,KM2104
2021-04-14,22.764373958333334,-158.01834374999999,6.426784942419181,0.3651753251780731,1.9118511800591782,0.16495344664249145,1957.5048,34.855438541666665,23.73145416666669,0.0029083333333333,-0.04546249999999992,0.000245987218717375,0.000245987218717375,0.000245987218717375,0.000245987218717375,0.000245987218717375,12.351753472222223,KM2104
2021-04-15,22.734760462962964,-158.0149084259259,6.189788255631858,0.34187075326993327,1.851116736639727,0.13580468185509917,1956.969925,34.836779791666665,23.82582750000002,-0.0019166666666666002,-0.034268749999999924,0.00024358897340129445,0.00024358897340129445,0.00024358897340129445,0.00024358897340129445,0.00024358897340129445,12.414243827160494,KM2104
2021-04-16,21.817844791666666,-158.14312864583334,6.621708981841202,0.45776052555908686,1.9704515168549845,0.06603289560434923,1954.8606765625,34.7272575331834,24.43599679687502,0.058055486111111054,-0.03851235243055552,0.00038233993279428126,0.00038233993279428126,0.00038233993279428126,0.00038233993279428126,0.00038233993279428126,16.042743055555555,KM2104
2021-05-15,21.336473093681917,-158.2622685185185,7.785835428724958,0.12564904767396137,1.0454420487362257,0.04881548792696771,1952.268575,34.533493166666666,25.362910416666693,0.0130244444444444,-0.0670866666666666,0.00048339831789936667,0.00048339831789936667,0.00048339831789936667,0.00048339831789936667,0.00048339831789936667,6.093148148148148,KM2105
2021-05-16,22.409322486233574,-158.08475858222695,12.91064680012809,0.23722418686709607,1.6849072157814518,0.07072764205918584,1954.3690913043479,34.744504526491625,25.099215144927562,0.08109356280193232,0.021193496376811557,0.00045745672574898263,0.00045745672574898263,0.00045745672574898263,0.00045745672574898263,0.00045745672574898263,11.484867149758454,KM2105
2021-05-17,22.80951636614593,-158.01022059445387,9.74095594064565,0.16638835455824028,1.241685245154891,0.0925631253548441,1955.4126250000002,34.80883333333333,25.01457750000002,0.11116041666666661,0.0497854166666666,0.0004510983155482739,0.0004510983155482739,0.0004510983155482739,0.0004510983155482739,0.0004510983155482739,11.507789855072463,KM2105
2021-05-18,22.780572700389886,-157.9976061721496,9.411770017469758,0.19832207160528662,1.4411204213673214,0.06905529617052465,1955.0117885416666,34.824921145833336,24.983535815972242,0.105603125,0.05517873263888886,0.00043811170973568746,0.00043811170973568746,0.00043811170973568746,0.00043811170973568746,0.00043811170973568746,11.666504629629628,KM2105
2021-05-19,22.097644654528477,-158.05590459383754,9.643977238289283,0.31001418883302145,1.5404092522153943,0.07359269735714216,1953.2756455882354,34.73248668158688,25.001108872549043,0.02602040849673203,-0.006399158496732031,0.0004403016616100882,0.0004403016616100882,0.0004403016616100882,0.0004403016616100882,0.0004403016616100882,14.735849673202615,KM2105
2021-06-21,21.33902999468368,-158.27154887825625,6.145857819128051,0.15171887903713077,0.8527940492609701,0.2660763209897914,1951.39965,34.52891658333332,26.20457791666669,0.0802577777777777,-0.0594111111111111,0.00053566824472,0.00053566824472,0.00053566824472,0.00053566824472,0.00053566824472,6.136851851851851,KM2109
2021-06-22,22.381549597952247,-158.08580824597487,8.99874009371787,0.31147161684728814,1.4804435243934366,0.14822095798020482,1952.1603989583334,34.7280237636296,25.79786772569447,-0.03146680555555554,-0.1309688946759259,0.00038925503880902503,0.00038925503880902503,0.00038925503880902503,0.00038925503880902503,0.00038925503880902503,11.684166666666668,KM2109
2021-06-23,22.699904990601507,-157.99282227046885,7.593515724562238,0.21590904465312477,1.2376687792756378,0.069403592703576,1952.3895197916665,34.73619710416667,25.801037083333355,-0.04451249999999999,-0.1891708333333333,0.00031036152474680416,0.00031036152474680416,0.00031036152474680416,0.00031036152474680416,0.00031036152474680416,11.69755787037037,KM2109
2021-06-24,22.67380786757539,-158.02185249406963,6.486822663082722,0.19936773313826528,1.2707942896207238,0.05599156647140718,1952.3506,34.71655815190973,25.915916649305572,-0.042375173611111115,-0.17835607638888884,0.0003258143379372125,0.0003258143379372125,0.0003258143379372125,0.0003258143379372125,0.0003258143379372125,11.690601851851852,KM2109
2021-06-25,21.462955185936867,-158.02317004234243,7.859556241224475,0.5653720463422427,1.7848974765213628,0.14535934462801178,1950.5792703125,34.68638308571429,26.330738671875025,0.011213281249999936,-0.043123029513888834,0.0005708549150547813,0.0005708549150547813,0.0005708549150547813,0.0005708549150547813,0.0005708549150547813,15.645642361111111,KM2109
2021-07-16,22.7446540456943,-158.0011381524481,3.748200669232922,0.06402918831598485,0.26913459401128975,0.0538168092050852,1952.3440666666665,34.82635806249999,25.96374458333335,0.0107875,0.0769895833333333,0.0003054566915352167,0.0003054566915352167,0.0003054566915352167,0.0003054566915352167,0.0003054566915352167,4.225833333333333,KM2111
2021-07-17,22.75499257195276,-158.01499472904842,5.109245764118488,0.08853747946856622,0.4417851641188215,0.0736248682857897,1952.1671708333333,34.86229358333332,26.00228583333335,0.0030041666666666,0.0946,0.00036092864039473745,0.00036092864039473745,0.00036092864039473745,0.00036092864039473745,0.00036092864039473745,11.556168981481482,KM2111
2021-07-18,22.76758796786083,-158.0188502948548,5.358767777048573,0.08939790082460185,0.4616052272468631,0.08586064146061372,1952.3642833333333,34.88050929166666,26.04478708333335,-0.0051229166666666,0.1104479166666666,0.00034137728714154667,0.00034137728714154667,0.00034137728714154667,0.00034137728714154667,0.00034137728714154667,13.717759259259259,KM2111
2021-07-23,21.77991281344287,-155.89184229937362,4.888502691976134,0.11394120883956056,0.5610315906830052,0.02600069078577283,1951.188368181818,34.89947229770924,25.704002272727294,-0.08060634469696965,0.0006242424242424085,0.00020708133272955454,0.00020708133272955454,0.00020708133272955454,0.00020708133272955454,0.00020708133272955454,12.308421717171717,KM2112
2021-07-24,21.848187003922003,-155.27115650424807,6.903596398214717,0.0904259889962039,0.6036955051696417,0.016814391316131733,1951.1002552083335,34.80638857465278,25.641758159722244,-0.05667039930555549,-0.06914670138888888,0.00011597805593760833,0.00011597805593760833,0.00011597805593760833,0.00011597805593760833,0.00011597805593760833,11.66306712962963,KM2112
2021-07-25,21.706665687865378,-155.2721144756054,7.1901072366549945,0.09804565366275687,0.6318325794298376,0.015540627901382447,1950.7646000000002,34.799897989583336,25.654502291666684,-0.0842895833333333,-0.08659479166666663,0.00011386956385602501,0.00011386956385602501,0.00011386956385602501,0.00011386956385602501,0.00011386956385602501,11.652152777777777,KM2112
2021-07-26,21.573367619197935,-155.4133942347583,6.558350292757537,0.09387922884085102,0.6817860824105484,0.016126852824749235,1950.836475,34.83824855381944,25.6780099652778,-0.14328298611111104,-0.041790277777777766,0.00011812007217155834,0.00011812007217155834,0.00011812007217155834,0.00011812007217155834,0.00011812007217155834,11.63224537037037,KM2112
2021-07-27,21.480378060290406,-155.63731554997665,5.164713159162516,0.08019539888556111,0.46637304377885197,0.01382969502072085,1950.8830875,34.84399585625,25.748328750000024,-0.15289166666666662,-0.020004166666666698,0.00015078300816399168,0.00015078300816399168,0.00015078300816399168,0.00015078300816399168,0.00015078300816399168,11.608090277777777,KM2112
2021-07-28,21.58465198412582,-155.94142865108628,7.333100794213759,0.11266202941101308,0.7102988156129245,0.016528799226061656,1951.209375,34.812079003117915,25.83803035714288,-0.14655431547619044,0.03824642857142858,0.00017663977279924287,0.00017663977279924287,0.00017663977279924287,0.00017663977279924287,0.00017663977279924287,8.583353174603175,KM2112
2021-07-29,21.631118589495713,-156.0699781486516,7.666733788692755,0.10792759186860386,0.6356788360870139,0.024450914179284657,1951.2646760416665,34.81120409375,25.902088333333353,-0.12854305555555554,0.06091232638888888,0.00021476874460029166,0.00021476874460029166,0.00021476874460029166,0.00021476874460029166,0.00021476874460029166,11.570069444444444,KM2112
2021-07-30,21.870013383862865,-156.32905670987455,7.004730523114663,0.103626011652515,0.5939879252050844,0.02426491563909042,1951.7364383333334,34.76946263194445,25.91778772222224,-0.0763859722222222,0.0879845833333333,0.00022727862346600002,0.00022727862346600002,0.00022727862346600002,0.00022727862346600002,0.00022727862346600002,8.251166666666666,KM2112
2021-07-31,22.03971824898968,-156.39421446299863,6.063832339054194,0.09476195358976094,0.566360308357485,0.028107412068794812,1951.817525,34.69977725520834,25.88437156250002,-0.0461411458333333,0.08752395833333328,0.0002227192280663125,0.0002227192280663125,0.0002227192280663125,0.0002227192280663125,0.0002227192280663125,4.669027777777778,KM2112
