population,time,lat,lon,abundance_cells_per_microliter,diameter_micrometer,NO3NO2,PO4,Fe,SiO4,Satellite_CHL,temp,salin,biomass
synecho,2023-03-07 23:00:00,-5.0920000000000005,-179.0458,22.292039351235328,0.9046524625820976,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.82714,35.60014,2.5754438717362396
picoeuk,2023-03-07 23:10:00,-5.1178,-179.05446666666668,39.14468866344655,1.4719025593484816,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.84334,35.6022,15.877427625181934
prochloro,2023-03-07 23:10:00,-5.1075,-179.0509,52.72897404786155,0.59694216822993,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.84334,35.6022,2.0841735081849415
synecho,2023-03-07 23:10:00,-5.1178,-179.05446666666668,20.679141957055137,0.8985626611235135,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.84334,35.6022,2.347829885237195
picoeuk,2023-03-07 23:20:00,-5.1488,-179.06496666666666,39.27712598613584,1.4759572770950016,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.86397,35.603750000000005,16.04461845016897
prochloro,2023-03-07 23:20:00,-5.154,-179.0667,52.97729402790395,0.602629937973397,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.86397,35.603750000000005,2.145852706579916
synecho,2023-03-07 23:20:00,-5.154,-179.0667,21.33423371392892,0.9057917327301782,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.86397,35.603750000000005,2.4728030084092114
picoeuk,2023-03-07 23:30:00,-5.190366666666667,-179.07883333333334,38.605479563925904,1.48193523660032,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.88527,35.60584,15.93557261296352
prochloro,2023-03-07 23:30:00,-5.195600000000001,-179.08055000000002,52.91344031875019,0.6080696140290415,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.88527,35.60584,2.1935363736371576
synecho,2023-03-07 23:30:00,-5.190366666666667,-179.07883333333334,20.650762530764577,0.9088506024426628,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.88527,35.60584,2.414493628484565
picoeuk,2023-03-07 23:40:00,-5.2164,-179.08745,37.80139581902668,1.4825228434441224,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.88931,35.606759999999994,15.619630477226083
prochloro,2023-03-07 23:40:00,-5.221566666666667,-179.08916666666667,52.6154563426993,0.6066565972264354,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.88931,35.606759999999994,2.1681304554365295
synecho,2023-03-07 23:40:00,-5.221566666666667,-179.08916666666667,20.688601765818657,0.9014131384378348,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.88931,35.606759999999994,2.3681765843975557
picoeuk,2023-03-07 23:50:00,-5.253833333333334,-179.09990000000002,34.49046275179462,1.49413383828214,0.0488461830286723,0.545451556390617,6.8944018272e-06,3.18434589356184,0.1257739244319964,28.91443,35.6081,14.541300778735883
prochloro,2023-03-07 23:50:00,-5.253833333333334,-179.09990000000002,52.20868456586794,0.6117314623802813,0.0488461830286723,0.545451556390617,6.8944018272e-06,3.18434589356184,0.1257739244319964,28.91443,35.6081,2.1981077771901747
synecho,2023-03-07 23:50:00,-5.253833333333334,-179.09990000000002,19.79937974204776,0.9066593746579076,0.0488461830286723,0.545451556390617,6.8944018272e-06,3.18434589356184,0.1257739244319964,28.91443,35.6081,2.300577305840118
