population,time,lat,lon,abundance_cells_per_microliter,diameter_micrometer,depth,CMAP_NO3_tblPisces_Forecast_cl1,CMAP_PO4_tblPisces_Forecast_cl1,CMAP_Fe_tblPisces_Forecast_cl1,CMAP_Si_tblPisces_Forecast_cl1,CMAP_chl_tblPisces_Forecast_cl1
picoeuk,2023-03-05T13:20:00,0.49973333333333336,-180.00099999999998,60.52385646900219,1.5641996899965669,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T13:30:00,0.5006666666666667,-180.00176666666667,60.429258381366985,1.5460217531994334,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T13:40:00,0.502,-180.003175,58.58932557686231,1.5533969503354075,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T13:50:00,0.5030666666666667,-180.00429999999997,58.58459567248054,1.5332386523161567,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T14:00:00,0.5039,-180.00523333333334,56.91020952133747,1.5291149095621783,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T14:10:00,0.5050666666666667,-180.00643333333332,55.292582222775515,1.53015959367849,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T14:20:00,0.5062666666666668,-180.0077,56.91020952133747,1.5246777679686951,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T14:30:00,0.5076,-180.0091666666667,58.035926764196375,1.5200848361265233,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T14:40:00,0.5082333333333333,-180.01,57.023727226499716,1.5165668217019184,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T14:50:00,0.5082,-180.01,54.11956593609902,1.5146586357076,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T15:00:00,0.5082,-180.01004999999998,52.090436956323934,1.509923053772345,0.0,2.1753239040263,0.6758092492818832,4.86186829107e-05,5.029153779149056,0.2493101209402084
picoeuk,2023-03-05T15:10:00,0.48773333333333335,-180.01059999999998,53.84523148195694,1.5216864527396001,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T15:20:00,0.4565666666666666,-180.0087,52.67221519528042,1.52659772761899,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T15:30:00,0.43110000000000004,-180.00745,49.50790916388292,1.532640954754815,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T15:40:00,0.38799999999999996,-180.00609999999998,46.561178734046386,1.5276854625472402,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T15:50:00,0.3535,-180.00466666666668,46.44766102888414,1.53485567371448,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T16:00:00,0.3223666666666667,-180.00343333333333,44.7448954514505,1.5320938255020966,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T16:10:00,0.28607499999999997,-180.00232499999998,41.3913932447826,1.5171030366243325,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T16:20:00,0.2549,-180.00205,40.78123557953555,1.5179002288041499,0.0,2.2101577310822904,0.6895506277214736,4.63592142097e-05,5.039510315284133,0.2429173257551156
picoeuk,2023-03-05T16:30:00,,,,,,,,,,
picoeuk,2023-03-05T16:40:00,,,,,,,,,,
picoeuk,2023-03-05T16:50:00,,,,,,,,,,
picoeuk,2023-03-05T17:00:00,,,,,,,,,,
picoeuk,2023-03-05T17:10:00,,,,,,,,,,
picoeuk,2023-03-05T17:20:00,,,,,,,,,,
picoeuk,2023-03-05T17:30:00,,,,,,,,,,
picoeuk,2023-03-05T17:40:00,,,,,,,,,,
picoeuk,2023-03-05T17:50:00,,,,,,,,,,
picoeuk,2023-03-05T18:00:00,,,,,,,,,,
picoeuk,2023-03-05T18:10:00,,,,,,,,,,
picoeuk,2023-03-05T18:20:00,,,,,,,,,,
picoeuk,2023-03-05T18:30:00,,,,,,,,,,
picoeuk,2023-03-05T18:40:00,,,,,,,,,,
picoeuk,2023-03-05T18:50:00,,,,,,,,,,
picoeuk,2023-03-05T19:00:00,,,,,,,,,,
picoeuk,2023-03-05T19:10:00,0.0012,-179.9959,57.78997173634485,1.3972103259829964,0.0,2.243384193008145,0.706347462721169,4.27330810452e-05,5.037668497612079,0.2339589985397955
picoeuk,2023-03-05T19:20:00,0.0012,-179.9959,56.70209372854003,1.37699034715364,0.0,2.243384193008145,0.706347462721169,4.27330810452e-05,5.037668497612079,0.2339589985397955
