salinity,temp,cruise,par,date,lat,lon,SiO4,NO3_NO2,PO4,Fe,PP,chl,MLD
34.54083399,28.96052521,KM1923,0.4887738,12/13/19 8:00,10.9,-155.5,NA,NA,NA,NA,NA,NA,NA
34.54230155,20.03266746,SR1917,49.89871718,11/17/19 4:00,33.6,-174.7,NA,NA,NA,NA,NA,NA,NA
34.54296429,24.83596429,KM1713,488.9167558,9/22/17 22:00,33.2,-158.1,NA,NA,NA,NA,NA,NA,NA
34.54383394,26.04353734,Gradients 4,2342.08915,12/2/21 19:00,4.409559808,-139.9791421,NA,NA,NA,NA,NA,NA,53.2797568
34.54516826,29.84908451,SR1917,1.62,11/7/19 11:00,16.3,148.4,NA,NA,NA,NA,NA,NA,NA
34.54632028,20.81383452,SR1917,1072.343073,11/20/19 18:00,33.2,-157.6,NA,NA,NA,NA,NA,NA,NA
34.54668378,24.4883036,KM1713,305.1287242,9/22/17 19:00,33.9,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.54766077,29.41332265,SR1917,559.343163,11/9/19 6:00,20.2,154.2,NA,NA,NA,NA,NA,NA,NA
34.54818831,28.91293061,KM1923,0.668860232,12/13/19 7:00,10.7,-155.5,NA,NA,NA,NA,NA,NA,NA
34.54858696,15.67009304,Gradients 3,1.45690087,4/21/19 12:00,34.176595,-157.999695,NA,NA,NA,NA,NA,NA,19.22129834
34.54899561,24.6063193,KM1713,463.6375582,9/22/17 20:00,33.7,-158,NA,NA,NA,NA,NA,NA,27.62648416
34.54954286,15.36132269,Gradients 3,1.46719916,4/21/19 9:00,34.71117,-157.999675,NA,NA,NA,NA,NA,NA,NA
34.55020626,21.61220605,SR1917,1.62,11/24/19 14:00,34.2,-140.8,NA,NA,NA,NA,NA,NA,NA
34.55108729,29.30950359,SR1917,1.62,11/9/19 8:00,20.4,154.5,NA,NA,NA,NA,NA,NA,NA
34.55135775,18.91566993,SR1917,1.62,11/18/19 5:00,34,-169.5,NA,NA,NA,NA,NA,NA,NA
34.55159622,28.88914846,SR1917,1.62,11/8/19 17:00,19,152.5,NA,NA,NA,NA,NA,NA,NA
34.5523949,20.3128947,TN398,0.0263,12/25/21 12:00,29.54181012,-136.4604721,NA,NA,NA,NA,NA,NA,75.21776818
34.55267292,25.41539688,Gradients 4,0.0224,11/26/21 12:00,17.75754561,-140.2368061,NA,NA,NA,NA,NA,NA,38.7962526
34.55376982,19.0118755,SR1917,335.3710645,11/17/19 19:00,33.8,-171.7,NA,NA,NA,NA,NA,NA,NA
34.55405552,29.3741826,SR1917,7.850502762,11/9/19 7:00,20.3,154.4,NA,NA,NA,NA,NA,NA,NA
34.55451105,29.26668674,SR1917,1.62,11/9/19 11:00,20.6,155,NA,NA,NA,NA,NA,NA,NA
34.55528984,20.30731519,SR1917,2.957570144,11/20/19 10:00,33.8,-159,NA,NA,NA,NA,NA,NA,NA
34.55673929,21.45243775,Gradients 4,2304.2469,11/22/21 19:00,23.87287343,-131.900048,NA,NA,NA,NA,NA,NA,39.07903446
34.55842133,20.37257798,SR1917,3.023587707,11/20/19 11:00,33.7,-158.9,NA,NA,NA,NA,NA,NA,NA
34.55889464,29.04595561,SR1917,1.62,11/8/19 18:00,19.1,152.6,NA,NA,NA,NA,NA,NA,NA
34.55932023,19.88269852,SR1917,1.62,11/17/19 5:00,33.6,-174.5,NA,NA,NA,NA,NA,NA,NA
34.55974627,29.09107489,SR1917,1.62,11/9/19 17:00,21.2,155.9,NA,NA,NA,NA,NA,NA,NA
34.55991363,19.09785077,SR1917,1.62,11/18/19 9:00,34,-168.8,NA,NA,NA,NA,NA,NA,NA
34.56033266,19.82033803,SR1917,508.0712888,11/19/19 19:00,34.6,-161.9,NA,NA,NA,NA,NA,NA,NA
34.56093333,25.96950542,Gradients 4,2007.58485,12/2/21 18:00,4.595311667,-139.9394883,NA,NA,NA,NA,NA,NA,NA
34.56319528,15.97735943,Gradients 3,1.477322642,4/14/19 7:00,34.693505,-157.99985,NA,NA,NA,NA,NA,NA,NA
34.5641,16.44352941,Gradients 1,399.3405882,4/30/16 17:00,32.91655882,-158.0136529,NA,NA,NA,NA,NA,NA,NA
34.56419211,20.29219079,TN398,0.026789474,12/25/21 13:00,29.58224868,-136.2437219,NA,NA,NA,NA,NA,NA,75.21776818
34.564467,25.91831483,Gradients 4,0.0134,12/2/21 4:00,4.769200439,-139.9878127,NA,NA,NA,NA,NA,NA,NA
34.56449641,29.27522017,SR1917,1.62,11/9/19 12:00,20.7,155.1,NA,NA,NA,NA,NA,NA,NA
34.56502795,25.92364638,Gradients 4,4.93005,12/2/21 3:00,4.769200833,-139.9878246,NA,2.924538113,NA,NA,NA,NA,NA
34.56566177,25.96244749,Gradients 4,1667.0793,12/2/21 0:00,4.769608333,-139.9888482,NA,NA,NA,NA,NA,NA,NA
34.56615256,25.90409929,Gradients 4,0.01635,12/2/21 5:00,4.769474327,-139.9875779,NA,NA,NA,NA,NA,NA,NA
34.56640909,25.96660977,Gradients 4,2201.40285,12/1/21 23:00,4.7685,-139.988,NA,NA,NA,NA,NA,NA,NA
34.56644542,25.92738542,Gradients 4,356.86245,12/2/21 2:00,4.777547917,-139.9950171,NA,NA,NA,NA,NA,NA,NA
34.56677708,21.56999,Gradients 4,0.02595,11/22/21 13:00,24.62739375,-130.6790979,NA,NA,NA,NA,NA,NA,NA
34.56739208,25.90302667,Gradients 4,0.01665,12/2/21 6:00,4.7772475,-139.9786304,NA,NA,NA,NA,NA,NA,NA
34.56749613,29.27331961,SR1917,1.62,11/9/19 9:00,20.5,154.7,NA,NA,NA,NA,NA,NA,NA
34.56825558,25.93222058,Gradients 4,2338.49775,12/1/21 22:00,4.7685,-139.988,NA,NA,NA,NA,NA,NA,NA
34.56835625,25.89686708,Gradients 4,0.0195,12/2/21 9:00,4.79636875,-139.9206075,NA,NA,NA,NA,NA,NA,NA
34.56864781,25.87948009,Gradients 4,0.016052632,12/2/21 8:00,4.801106944,-139.9299435,NA,NA,NA,NA,NA,NA,NA
34.5686895,28.82862403,SR1917,1.62,11/8/19 14:00,18.7,152,NA,NA,NA,NA,NA,NA,NA
34.56912979,25.87367292,Gradients 4,2237.1313,12/1/21 20:00,4.76837807,-139.9885557,NA,NA,NA,NA,NA,NA,NA
34.56928596,25.89696974,Gradients 4,1994.873211,12/1/21 21:00,4.7685,-139.988,NA,NA,NA,NA,NA,NA,NA
34.56983495,24.46687573,KM1713,121.3871011,9/22/17 18:00,34,-157.9,NA,NA,NA,NA,NA,NA,27.62648416
34.57007875,25.92482083,Gradients 4,0.02475,12/2/21 11:00,4.781749167,-139.9110363,NA,NA,NA,NA,NA,NA,NA
34.57089189,24.4129036,KM1713,643.7122514,9/21/17 20:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.57126125,25.81520333,Gradients 4,2130.54875,12/1/21 19:00,4.768,-139.9906,NA,NA,NA,NA,NA,NA,NA
34.57151625,25.88249731,Gradients 4,0.02185,12/2/21 10:00,4.797040545,-139.9163638,NA,NA,NA,NA,NA,NA,NA
34.57151892,25.92786392,Gradients 4,0.01775,12/2/21 12:00,4.774364474,-139.9098575,NA,NA,NA,NA,NA,NA,NA
34.57232873,29.46862735,SR1917,434.3844586,11/7/19 20:00,17.1,149.5,NA,NA,NA,NA,NA,NA,NA
34.57233708,25.76606333,Gradients 4,1728.45675,12/1/21 18:00,4.767425,-139.9915163,NA,NA,NA,NA,NA,NA,NA
34.5725019,19.84058542,SR1917,1.62,11/17/19 9:00,33.6,-173.8,NA,NA,NA,NA,NA,NA,NA
34.5727547,19.85985146,SR1917,891.4518011,11/16/19 19:00,33.4,-176.5,NA,NA,NA,NA,NA,NA,NA
34.57309625,25.93808958,Gradients 4,0.02205,12/2/21 13:00,4.774299167,-139.9098033,NA,NA,NA,NA,NA,NA,NA
34.57311839,29.09790292,SR1917,1.62,11/9/19 16:00,21.1,155.7,NA,NA,NA,NA,NA,NA,NA
34.57341342,25.8240365,Gradients 4,873.3021,12/1/21 16:00,4.750601111,-140,NA,NA,NA,NA,NA,NA,NA
34.57358398,19.92083287,SR1917,60.08159392,11/16/19 18:00,33.4,-176.7,NA,NA,NA,NA,NA,NA,NA
34.57396198,29.22124853,SR1917,1.62,11/9/19 14:00,20.9,155.4,NA,NA,NA,NA,NA,NA,NA
34.5740675,25.81026,Gradients 4,134.9262,12/1/21 15:00,4.7506,-140.0004333,NA,2.927778188,NA,NA,NA,NA,NA
